City Feature,Common Name,Address,Website,Longitude,Latitude
Computer/Media Center,1118 Fifth Ave,YWCA of Seattle,http://www.ywcaworks.org,-122.33266,47.6079
Computer/Media Center,4261 Roosevelt Way NE,Jack Straw Productions,http://www.jackstraw.org/,-122.31804,47.65929
Computer/Media Center,2301 S Jackson Street,Ethiopian Community Computer Resources and Training Center,http://www.ecmaseattle.org,-122.30839,47.61651
Computer/Media Center,917 E Yesler Way,Yesler Community Computer lab,http://www.seattle.gov/parks/centers/Yesler/lab.htm,-122.32133,47.60139
Computer/Media Center,Cunningham Hall,UW Women's Center,http://depts.washington.edu/womenctr,-122.31003,47.65434
Computer/Media Center,9455 27th Ave SW,Westwood Heights Technology Center,http://www.westwoodheights.org,-122.36801,47.51795
Computer/Media Center,4021 Aurora Ave. North,R.O.A.R. of Washington,http://www.roarofwashington.org,-122.34767,47.65607
Computer/Media Center,2100 24th Ave S,Washington CASH,http://www.washingtoncash.org/,-122.307,47.61713
Computer/Media Center,800 Jefferson ST,Jefferson Terrace Residence Lab,http://www.elderhealth.org,-122.32532,47.60492
Computer/Media Center,3200 NE 125th Suite#2,North Seattle Family Center,http://www.childrenshomesociety.org,-122.2938,47.71948
Computer/Media Center,3320 Rainier AV S,Somali Community Center,http://depts.washington.edu/ethnomed/Somali/somaliclass.html,-122.29403,47.57345
Computer/Media Center,12015 Roseberg AVE S,Boulevard Park Library,http://www.kcls.org/boulevardpark/,-122.30786,47.49526
Computer/Media Center,11220 16th SW,White Center Library,http://www.kcls.org/whitecenter/,-122.3543,47.5019
Computer/Media Center,"516 3rd Ave., W621, KC Courthouse",King County Law Library Legal Research & Training Center,http://www.kcll.org,-122.33051,47.60265
Computer/Media Center,2200 Rainier Avenue South,People of Color Against AIDS Network (POCAAN),http://www.pocaan.org/,-122.30169,47.58348
Computer/Media Center,"10550 Lake City Way NE, Suite A",ARC of King County,http://arcofkingcounty.org,-122.30126,47.70647
Computer/Media Center,1115 E Pike ST,Seattle LGBT Community Center,http://www.seattlelgbt.org/cybercenter.html,-122.31743,47.61393
Computer/Media Center,8825 Rainier Ave. S.,Rainier Beach Family Center,http://www.atlanticstreet.org,-122.27074,47.52472
Computer/Media Center,3411 SW Raymond,High Point Branch - Seattle Public Library,http://www.spl.org/default.asp?pageID=branch_open&branchID=13,-122.37581,47.54804
Computer/Media Center,719 8th Ave S,International District Community Ctr,http://seattle.gov/parks/centers/IDChinatown.htm,-122.32283,47.59625
Computer/Media Center,713 8th Ave. S.,International District Branch - Seattle Public Library,http://www.spl.org/default.asp?pageID=branch_open&branchID=14,-122.32283,47.59625
Computer/Media Center,330 19th Ave E,Miller Community Center,http://www2.cityofseattle.net/TechMap/Mapping/tblTechCenterInfoview.asp?key=304,-122.30689,47.62176
Computer/Media Center,2801 SW Thistle St,Southwest Community Center,http://www2.cityofseattle.net/TechMap/Mapping/tblTechCenterInfoview.asp?key=321,-122.36918,47.52801
Computer/Media Center,10548 Fifth Ave. N.E.,Northgate Branch - Seattle Public Library,http://www.spl.org/default.asp?pageID=branch_open&branchID=21,-122.32266,47.7062
Computer/Media Center,1400 S. Lane Street,"Goodwill Industries, Seattle",http://seattlegoodwill.org,-122.31543,47.59692
Computer/Media Center,4408 Delridge Way SW,Youngstown Cultural Arts Center,http://www.youngstownarts.org/,-122.36301,47.56379
Computer/Media Center,4600 38th Ave. S.,Rainier Community Center,http://www.seattle.gov/parks/centers/rainiercc.htm,-122.28435,47.56154
