Title,Parent Organization,Contact Name,Contact Title,Phone Number,Phone Ext.,Website URL,Center Email Address,Country,Postal Code,County,Facebook Page URL,Twitter URL,Blog URL,About Our Center,Organization Type,Languages,Languages (Other),Number of Computers,Windows/Mac OS,Assistive Technology,Assistive Technology (Other),Wi-Fi Available?,Other Technology,Target Audience,Target Audience (Other),Open to Public?,Location
Garfield Computer Lab,Associated Recreation Council - RecTech,Tariq Sahali,RecTech Lead,206-684-4788,,http://www.seattle.gov/parks/rectech/labs/garfield/,tariq.sahali@seattle.gov,United States,98122,King,https://www.facebook.com/pages/RecTech/156100567756554,,,"RecTech's Garfield Computer Lab is located in the Central District and provides 14 workstations with broadband Internet access. There is a wide range of learning opportunities and activities for youth, adults and seniors. We use the tools of computers and multimedia to provide programs which help develop skills, train tomorrow’s leaders, encourage recreation and health, build community and connect residents to vital services.",Government/Public Community Center,English,,14,WindowsMac OS,None,,Offers Wi-Fi,Video production,"Adults, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"2323 East Cherry St
Seattle, Washington
(47.60795152585223, -122.3024566267915)"
Delridge Computer Lab,Associated Recreation Council - RecTech,Leslie Howle,RecTech Site Lead,206-799-2030,,http://www.seattle.gov/parks/rectech/labs/delridge/,leslie.howle@seattle.gov,United States,98106,King,https://www.facebook.com/pages/RecTech/156100567756554?sk=wall,,,"RecTech's Delridge Computer Lab is located in West Seattle. There is a  wide range of learning opportunities and activities   for youth, adults  and seniors. We use the tools of computers and multimedia to   provide  programs which help develop skills, train tomorrow’s leaders, encourage    recreation and health, build community and connect residents to vital    services.",Government/Public Community Center,English,,12,Windows,None,,No Wi-Fi,,"Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"4501 Delridge Way SW
Seattle, Washington
(47.562838499497055, -122.36347670545089)"
Neighborhood House High Point Center,Neighborhood House,Kathryn,McGhee,206-461-4568,,http://www.nhwa.org/high-point/,info@nhwa.org,United States,98126,King,https://www.facebook.com/pages/Neighborhood-House/55956761810,https://twitter.com/#!/neighborhouse,,"Located in the heart of the High Point community, the High Point Center is a home for anti-poverty services that strengthen High Point families and support the development of a healthy, vibrant and green community.The center is also a place where families from all walks of life can gather and share food, stories and experiences.  It's a community living room for everything from town meetings to neighborhood potlucks, book clubs to Head Start classes.",Human Services/Non-profit (non-residential),"Amharic, Chinese, English, Oromo, Russian, Somali, Spanish, Vietnamese",,15,Windows,"None, Wheelchair accessible",,Offers Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, On-site Residents, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"6400 Sylvan Way SW
Seattle, Washington
(47.60355999989423, -122.32943999975606)"
Multimedia Resources and Training Institute,,Assaye,Abunie,206-838-6359,,http://mmrtiseattle.org/,info@mmrtiseattle.org,United States,98144,King,,,,"Mission: The mission of Multimedia Resources & Training Institute (MMRTI) is to empower youth to become leaders and artists by using media technologies to transform images about their cultural heritage, communities, and themselves.
Goal: Our goal is to build a foundation that is youth-led and supported by parents and community members so that young media makers can mobilize together to create a sustainable foundation for the future, and to create a collective voice in their community. ",Human Services/Non-profit (non-residential)K-12 Education,Tigrinya,,8,WindowsMac OS,None,,No Wi-Fi,Audio productionVideo production,"Adults, Immigrants/Refugees, Low Income, Youth: Teen",,Limited Users,"2301 S Jackson Street Suite 103
Seattle, Washington
(47.59922810216801, -122.30223312551787)"
Horn of Africa Services,,Tsegaye,Gebru,206-760-0550,,http://hoas.org/,info@hoas.org ,United States,98118,King,https://www.facebook.com/HOAS4714?v=wall,https://twitter.com/#!/HornOfAfricaS,,"Horn of Africa Services (HOAS) is a multi-lingual, multicultural nonprofit organization  offering individual and family counseling and referral services. We  respond to the health, employment, housing and educational needs within  communities from Djibouti, Eritrea, Ethiopia, Somalia, Sudan, and  neighboring countries who are living in the Greater Seattle area. HOAS  provides services by bilingual staff speaking in Amharic, Oromo,  Tigrigna, and Somali.",Human Services/Non-profit (non-residential),"Amharic, Oromo, Somali, Tigrinya",,12,Windows,None,,No Wi-Fi,,"Adults, Immigrants/Refugees, Low Income, Small Businesses, Youth: Teen",,All Public,"4714 Rainier Avenue SouthSuite 105
Seattle, Washington
(47.560188742884556, -122.28646142177188)"
Helping Link,,Minh-Duc Nguyen,Executive Director,206-568-5160,,http://helpinglink.org,helpinglink2003@gmail.com,United States,98104,King,http://www.facebook.com/HelpingLink,http://twitter.com/#!/helpinglink,,"Our mission is to empower Vietnamese-Americans’ social adjustment, family stability,  and self-sufficiency while nurturing community service and youth  leaders. Our multi-level bilingual classes help participants access technology and  develop employable skills in Helping Link’s public computing center.",Human Services/Non-profit (non-residential),"English, Vietnamese",,15,Windows,None,,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Teen",,Limited Users,"1032 S Jackson StSte C
Seattle, Washington
(47.60355999989423, -122.32943999975606)"
Chinese Information and Service Center,,Stephen Lam,Elderly Program Director,206-624-5633,,http://www.cisc-seattle.org/,stephenl@cisc-seattle.org,United States,98104,King,https://www.facebook.com/cisc.seattle,,http://www.cisc-seattle.blogspot.com/,"For over 35 years, CISC has  enjoyed an excellent reputation in the community as the leading provider  of linguistically and culturally appropriate social services to the  Chinese immigrant community.",Human Services/Non-profit (non-residential),Chinese,"Cantonese, Mandarin, Toisanese, Taiwanese, Hakka, Chiuchow, Shanghainese, Fukienese",18,WindowsMac OS,"Blind/LV, None, Wheelchair accessible",,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"611 S Lane St
Seattle, Washington
(47.59660705088803, -122.32563359391747)"
Neighborhood House Rainier Vista,,Kathryn,McGhee,206-461-4568,,http://www.nhwa.org,kathrynm@nhwa.org  ,United States,98108,King,https://www.facebook.com/pages/Neighborhood-House/55956761810,https://twitter.com/#!/neighborhouse,,"The mission of Neighborhood House is to help diverse communities of people with limited resources attain their goals for self-sufficiency, financial independence, health, and community building.At the core of our mission is the alleviation of poverty in our community, especially the large public housing communities in Seattle and King County.",Human Services/Non-profit (non-residential),"Amharic, Oromo, Russian, Somali, Spanish, Tigrinya, Vietnamese",Cambodian,14,Windows,Wheelchair accessible,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"4410 29th Ave S
Seattle, Washington
(47.56282440988076, -122.29600334195646)"
Lopez Island Family Resource Center,,Celia Marquis,Executive Director,360-468-4117,,http://lifrc.org/,lifrc@rockisland.com,United States,98261,San Juan,https://www.facebook.com/lifrc,,,"The mission of the LIFRC is to support and enhance the security,  well-being, and educational and life success of children and families on  Lopez Island.
The LIFRC Technology lab consists of two components; The Technology  Lab and the Digital Media Center. The Technology lab has 5 computers  that are available for online classes, internet access & personal  projects during LIFRC regular business hours for island youth and island  community usage. Individual tutoring is also available.
The LIFRC Digital Media Center works very closely with the Lopez  Island School District providing access to digital media equipment for  the purpose of increasing academic achievement and positive social  skills. An LIFRC staff person assists in video production classes in the  classroom throughout the school year. Laptops with video editing  software and camcorders are available for usage and can be checked out  from the resource center by students & community members.",Human Services/Non-profit (non-residential),Spanish,,5,Windows,None,,No Wi-Fi,,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"160 Village Road
Lopez Island, Washington
(48.524847171063584, -122.91207490490814)"
Puyallup Public Library,,Mary Jo Torgeson,Library Director,253-841-5454,,http://www.cityofpuyallup.org/library/index.php,puylib@ci.puyallup.wa.us,United States,98371,Pierce,https://www.facebook.com/pages/Puyallup-Public-Library/325099737354,,,"The Library building was opened in August, 2002, though Puyallup has a long and rich history of providing its citizens with a public library.   The Puyallup Public Library serves residents living within the city of  Puyallup, as well as neighboring communities through reciprocal  agreements. We provide resources to the community such as computer terminals  with word-processing software and internet-access, free Wi-fi service,  self-checkout machines, meeting rooms, and programs and classes for all  ages. ",Library,,,42,Windows,"Deaf, Wheelchair accessible",,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"324 South Meridian
Puyallup, Washington
(47.189937462963464, -122.29380816859063)"
Burlington Public LIbrary,,Maggie Buckholz,Library Director,360-755-0760,,http://www.ci.burlington.wa.us/,blibrary@ci.burlington.wa.us,United States,98233,Skagit,http://www.facebook.com/BurlingtonPublicLibraryWA,,http://libraryhubbub.wordpress.com/,"Welcome  to ""the friendliest library around."" We strongly believe in how  important libraries are to communities and people, and we want everyone  to feel welcome and get what they need. We're trying to find ways to  ""always say yes.""",Library,"English, Spanish",,20,Windows,None,,Offers Wi-Fi,,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"820 E Washington Ave
Burlington, Washington
(48.474700974709776, -122.32390930452567)"
La Conner Regional Library,,Joy Neal,Library Director,360-466-3352,,http://www.lclib.lib.wa.us/,library@lclib.lib.wa.us,United States,98257,Skagit,http://www.facebook.com/pages/La-Conner-WA/La-Conner-Regional-Library/1044178329...,,http://laconnerlibrary.blogspot.com/,"The  La Conner Library is  	      a ""Rural, Partial-County Library District""  in Skagit County,  	      Washington. The library district includes all  properties within the  	      boundaries of the La Conner School  District, La Conner, Washington.",Library,English,,6,Windows,Wheelchair accessible,,Offers Wi-Fi,,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"614 Morris St
La Conner, Washington
(48.39216119886066, -122.48938455791688)"
Upper Skagit Library,,Amy Hirschel,Library Director,360-853-7939,,http://www.upperskagit.lib.wa.us/,info@upperskagit.lib.wa.us,United States,98237,Skagit,https://www.facebook.com/pages/Upper-Skagit-Library/125283767492130,,,"Located in the historic town of Concrete, Washington, the Upper  Skagit Library District serves over 4,000 people in eastern Skagit  County.",Library,English,,4,Windows,None,,Offers Wi-Fi,,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"45770B Main Street
Concrete, Washington
(48.53885886071776, -121.74969860210383)"
Denny Terrace,Full Life Care,Mike Pollack,BTOP Grant Project Coordinator,206-659-8993,,http://www.fulllifecare.org/,mikep@fulllifecare.org,United States,98102,King,https://www.facebook.com/FullLifeCare,,,"The Denny Terrace Computer Lab is a very unique computer learning  center. It is a “mini-lab,” housing 8 computers, a  printer, a scanner and a copier. Also, the lab is both used and managed by residents  of the Denny Terrace building. It also houses a resource library for residents.",Housing,English,,8,Windows,Wheelchair accessible,,Offers Wi-Fi,,On-site Residents,,Limited Users,"100 Melrose Ave E
Seattle, Washington
(47.61873526044235, -122.3278303485734)"
Westwood Heights Senior Housing,Digital Promise,Oscar Escalante,Technology & Site Lead,206-770-6835,,http://www.seattlehousing.org/housing/public/locations/westwood-heights/,oscartheatguru@gmail.com,United States,98126,King,,,,"Located at the southern end of West Seattle, Westwood Heights is one  of two senior preference buildings for residents age 62 and older.  Sitting within walking distance of several grocery stores, pharmacies,  and the many shops of nearby Westwood Village, the building is also  close to Roxhill and North Shorewood Parks and a Seattle Public Library  branch.
Westwood Heights has a number of services targeted to the  needs of seniors, including lifetime fitness classes, home care  assistance, visiting nurses, case management services, and a  senior-friendly computer lab.",Housing,English,,9,Windows,Blind/LV,,Offers Wi-Fi,,On-site Residents,,Limited Users,"9455 27th Ave SW
Seattle, Washington
(47.518211654568155, -122.36734679583533)"
Metrocenter YMCA,YMCA of Greater Seattle,Chris Tugwell,"Director, Technology Programs",206-839-8911,,http://www.seattleymca.org/,ctugwell@seattleymca.org,United States,98104,King,https://www.facebook.com/MetrocenterYMCA,,http://youthdigitalmedia.com/,"YTECH strives to provide our community with the skills they need to be successful in higher education, the workplace and the community. YTECH not only provides access to the newest digital media technology, but the guidance and training to use it in meaningful ways! YTECH supplements their training sessions by teaching young people to interact in the online environment Puget SoundOff.org. YTECH participants learn to identify and use their voice to create their own pieces of digital media about community issues that matter to them most. Armed with hard skills, access to technology and a forum for expression and action, YTECH helps develop the next generation of employable, engaged, skilled civic participants. YTECH programs are available for ages six to sixty!",Human Services/Non-profit (non-residential),"English, Spanish",,23,WindowsMac OS,Wheelchair accessible,,Offers Wi-Fi,Audio productionVideo production,"Adults, Low Income, Youth: Pre-teen, Youth: Teen",,All Public,"909 4th Ave
Seattle, Washington
(47.605668111356636, -122.3325877621084)"
New Futures The Heights at Burien,New Futures,Norma Ortiz,Community Developer,206-241-4840,,http://newfutures.org/our-programs/our-sites/the-heights-at-burien/,normao@newfutures.org,United States,98166,King,http://www.facebook.com/newfutures,,,"In 1993, we linked four apartment units together and converted the  space into classrooms, computer labs, and family meeting areas, to open  our largest family center.
Located in the heart of Burien, The Heights at Burien has 543  apartments inside the complex, which makes it one of the largest  complexes in the Puget Sound area. A majority of the residents here are  Latino. There is also a large group of indigenous Mexican immigrants  known as Purépecha.  The Purépecha and their language date back to the  time of the Aztecs.
Like all of our sites, we offer English Language Learner (ELL)  classes, translation services, and family advocacy services to help  recent immigrant families navigate unfamiliar education and governmental  systems, so they can thrive.",Housing,"English, Spanish",,11,Mac OS,None,,No Wi-Fi,,On-site Residents,,Limited Users,"13737 SW 12th AveBuilding 31
Burien, Washington
(47.46862000041284, -122.34035999971405)"
Ballard Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/ballard.htm,derrick.hall@seattle.gov,United States,98107,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,English,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, On-site Residents, Seniors, Small Businesses, Youth: Teen",,All Public,"5604 22nd Ave NW
Seattle, Washington
(47.66949721708327, -122.3846760213801)"
Lake City Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/lakecity.htm,derrick.hall@seattle.gov,United States,98125,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, On-site Residents, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",,All Public,"12525 28th Ave NE (2nd Floor)
Seattle, Washington
(47.71976330959339, -122.2977868905812)"
University Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/university.htm,derrick.hall@seattle.gov,United States,98105,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",,All Public,"4534 University Way NE
Seattle, Washington
(47.662370365304014, -122.31304549441171)"
Central Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/central.htm,derrick.hall@seattle.gov,United States,98144,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",,All Public,"2301 S. Jackson St, Suite 208
Seattle, Washington
(47.59922810216801, -122.30223312551787)"
Southeast Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/southeast.htm,derrick.hall@seattle.gov,United States,98118,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",,All Public,"3815 S Othello St. Suite 105
Seattle, Washington
(47.53697851165764, -122.28445829523109)"
Delridge Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/delridge.htm,derrick.hall@seattle.gov,United States,98106,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",,All Public,"5405 Delridge Way S.W.
Seattle, Washington
(47.55364448503695, -122.36307686984334)"
New Futures Windsor Heights,New Futures,Kate Elias,Site Manager/Community Developer,206-901-0180,,http://newfutures.org/our-programs/our-sites/windsor-heights/,katee@newfutures.org,United States,98188,King,https://www.facebook.com/newfutures,,,"Just minutes from SeaTac International airport, Windsor Heights  Apartments is home to people of many different nationalities and  cultures. More than 50 languages are spoken in the complex. This  326-unit property is managed by the King County Housing Authority.
As a gathering place for the Windsor Heights community since 1999,  our facilities sit at the center of the complex, and are a central part  of the community. Each year, hundreds of residents attend our  community-led Cultural Festival. Teens in our program recruit  volunteers, advertise, and design activities for kids. After School  Program students make flags of their countries as decoration. And  families plan a rich menu of food and entertainment. The vibrant  Cultural Festival encourages neighbors to come together to meet and  celebrate each other.",Housing,"English, Spanish",,8,Windows,None,,No Wi-Fi,,On-site Residents,,Limited Users,"17229 32nd Ave SCommunity Center
SeaTac, Washington
(47.43406000026897, -122.2742600001987)"
New Futures Woodridge Park,New Futures,Kate Elias,Site Manager/Community Developer,206-242-2207,,http://newfutures.org/our-programs/our-sites/woodridge-park/,katee@newfutures.org,United States,98168,King,http://www.facebook.com/newfutures,,,"Woodridge Park is our newest site.  We have been a part of  this 200-unit apartment complex since October 2008. Woodridge Park  Apartments are located in the diverse Boulevard Park Community, and are  owned by the King County Housing Authority. Our community center has  quickly become a hub of activity for kids and families.  We host an  After School Program, Youth Program, Parent/Child Playgroup, community  information nights, and fun community gatherings.",Housing,"English, Spanish",,8,Windows,None,,No Wi-Fi,,On-site Residents,,Limited Users,"12420 28th Ave S#29 &amp; #30
Burien, Washington
(47.46862000041284, -122.34035999971405)"
Kalispel Tribe Camas Center for Community Wellness,,Evin Olson,Court Analyst,509-447-7139,,http://www.kalispeltribe.com/wellness-center/,eolson@kalispeltribe.com,United States,99180,Pend Oreille,,,,"About Camas Center
The Kalispel Tribe of Indians’ Camas Center for Community Wellness is  a center for the promotion of health. The Camas Center for Community  Wellness is part of the Kalispel Tribe’s vision for improving the  standard of living among tribal members and the community. Located on  tribal land, the center is operated by the Kalispel Tribal Government  and is a comprehensive health care asset for the local community. At the  heart of this operation, we collectively believe that a healthy and active lifestyle brings a long, prosperous life.  A comprehensive set of primary medical and dental services are offered  at the center. We look forward to providing ongoing care to you and your  family.
Mission
The Camas Center for Community Wellness aims to meet the health and  social need of Tribal members and the community by providing quality  services to enhance the overall individual.",Human Services/Non-profit (non-residential),,,5,Mac OS,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"1821 N LeClerc Road
Usk, Washington
(48.31364999974784, -117.28071999962816)"
