Title,Parent Organization,Contact Name,Contact Title,Phone Number,Phone Ext.,Website URL,Center Email Address,Country,Postal Code,County,Facebook Page URL,Twitter URL,Blog URL,About Our Center,Organization Type,Languages,Languages (Other),Number of Computers,Windows/Mac OS,Assistive Technology,Assistive Technology (Other),Wi-Fi Available?,Other Technology,Target Audience,Target Audience (Other),Open to Public?,Location
University Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/university.htm,derrick.hall@seattle.gov,United States,98105,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",,All Public,"4534 University Way NE
Seattle, Washington
(47.662370365304014, -122.31304549441171)"
Central Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/central.htm,derrick.hall@seattle.gov,United States,98144,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",,All Public,"2301 S. Jackson St, Suite 208
Seattle, Washington
(47.59922810216801, -122.30223312551787)"
Southeast Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/southeast.htm,derrick.hall@seattle.gov,United States,98118,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",,All Public,"3815 S Othello St. Suite 105
Seattle, Washington
(47.53697851165764, -122.28445829523109)"
Delridge Neighborhood Service Center,,Derrick Hall,,206-233-5061,,http://www.seattle.gov/neighborhoods/nsc/delridge.htm,derrick.hall@seattle.gov,United States,98106,King,,,,"Seattle has six Neighborhood Service Centers located throughout the city. These ""little city halls"" are where you can go to find information about Seattle services and programs.  Public access to the Internet is available and limited to one 30 minute session per day.",Government/Public Community Center,,,1,Windows,None,,No Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",,All Public,"5405 Delridge Way S.W.
Seattle, Washington
(47.55364448503695, -122.36307686984334)"
New Futures Windsor Heights,New Futures,Kate Elias,Site Manager/Community Developer,206-901-0180,,http://newfutures.org/our-programs/our-sites/windsor-heights/,katee@newfutures.org,United States,98188,King,https://www.facebook.com/newfutures,,,"Just minutes from SeaTac International airport, Windsor Heights  Apartments is home to people of many different nationalities and  cultures. More than 50 languages are spoken in the complex. This  326-unit property is managed by the King County Housing Authority.
As a gathering place for the Windsor Heights community since 1999,  our facilities sit at the center of the complex, and are a central part  of the community. Each year, hundreds of residents attend our  community-led Cultural Festival. Teens in our program recruit  volunteers, advertise, and design activities for kids. After School  Program students make flags of their countries as decoration. And  families plan a rich menu of food and entertainment. The vibrant  Cultural Festival encourages neighbors to come together to meet and  celebrate each other.",Housing,"English, Spanish",,8,Windows,None,,No Wi-Fi,,On-site Residents,,Limited Users,"17229 32nd Ave SCommunity Center
SeaTac, Washington
(47.43406000026897, -122.2742600001987)"
New Futures Woodridge Park,New Futures,Kate Elias,Site Manager/Community Developer,206-242-2207,,http://newfutures.org/our-programs/our-sites/woodridge-park/,katee@newfutures.org,United States,98168,King,http://www.facebook.com/newfutures,,,"Woodridge Park is our newest site.  We have been a part of  this 200-unit apartment complex since October 2008. Woodridge Park  Apartments are located in the diverse Boulevard Park Community, and are  owned by the King County Housing Authority. Our community center has  quickly become a hub of activity for kids and families.  We host an  After School Program, Youth Program, Parent/Child Playgroup, community  information nights, and fun community gatherings.",Housing,"English, Spanish",,8,Windows,None,,No Wi-Fi,,On-site Residents,,Limited Users,"12420 28th Ave S#29 &amp; #30
Burien, Washington
(47.46862000041284, -122.34035999971405)"
Jefferson Terrace Computer Lab,"Jefferson Terrace Computer Lab Committee, Seattle Housing Authority, and Full Life Care",Michael King,Lab Volunteer,206-382-0763,,http://www.seattlehousing.org/housing/public/locations/jefferson-terrace/,JTCLMK@aol.com,United States,98104-2401,King,,,,"The Jefferson Terrace Computer Lab is located in Jefferson Terrace, a Seattle Housing Authority apartment building in Seattle’s First Hill neighborhood. It is administered by a partnership of Jefferson Terrace residents, the Seattle Housing Authority, and Full Life Care. The lab is open to all residents of the building and their guests, and is supervised by resident volunteers. On the floor on which the lab is located, a wireless Internet connection is available to laptop computer users at all times. ",Housing,English,,8,Windows,"Blind/LV, Wheelchair accessible",,Offers Wi-Fi,,"Adults, Disabled, Immigrants/Refugees, Low Income, On-site Residents, Seniors",,Limited Users,"800 Jefferson Street, Suite 110
Seattle, Washington
(47.604525972379406, -122.3249974841811)"
Street Youth Ministries,,Rowena Harper,Executive Director,206-524-7301,186,http://www.streetyouthministries.org/,rowenah@upc.org,United States,98105,King,https://www.facebook.com/pages/Street-Youth-Ministries/96898812700,,,"Street Youth Ministries (SYM) is a non-profit, faith-based organization serving homeless and at-risk youth ages 13-25 in the Seattle area. SYM's mission is to provide youth in Seattle's University District with life-skills, resources and relationships that bring hope and healing to their lives and the community.
In March of 1993, a group of individuals and churches recognized the growing problem of youth homelessness in Seattle's University District and formed a partnership to address the issue. Today, SYM is committed to helping young people exit street life, and works with hundreds of youth each year.",Human Services/Non-profit (non-residential)Faith-based,English,,15,Windows,None,,Offers Wi-Fi,,"Adults, Youth: Teen",Teens and young adults ages 13-25,Limited Users,"4540 15th Ave NE
Seattle, Washington
(47.6620301409228, -122.31187064248824)"
Enumclaw Public Library,,Branch Manager,,360-825-2938,,http://www.enumclaw.lib.wa.us/,library@ci.enumclaw.wa.us,United States,98022-3460,King,,,,Serving residents of Enumclaw with publicly accessible opportunities for information and education.,Library,English,,9,Windows,Wheelchair accessible,,Offers Wi-Fi,,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"1700 1st St
Enumclaw, Washington
(47.20361772976521, -121.98673323896797)"
Seattle Public Library (Central Branch),Seattle Public Library,Branch Manager,,206-386-4636,,http://www.spl.org/locations/central-library/cen-computers-and-equipment,none@spl.org,United States,98104,King,http://www.facebook.com/SeattlePublicLibrary,http://www.twitter.com/SPLBuzz,http://shelftalk.spl.org/,"The Seattle Public Library brings people, information and ideas together to enrich lives and build community. Contact us at http://www.spl.org/about-the-library/contact-the-library/e-mail-form for more information.
In addition to the services listed, the library offers image editing workstations as well as conference rooms that can be rented out and supplied with various presentation capabilities.",Library,"Amharic, Chinese, English, Russian, Spanish, Vietnamese",Language Line Services are available,332,Windows,"Blind/LV, Deaf, Wheelchair accessible",http://www.spl.org/audiences/adaspecial-services/adaptive-equipment,Offers Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",,All Public,"1000 Fourth Ave
Seattle, Washington
(47.60621669779448, -122.33298346380127)"
Ballard Library,Seattle Public Library,Dave Valencia,Regional Manager,206-684-4089,,http://www.spl.org/locations/ballard-branch/bal-computers-and-equipment,,United States,98107,King,http://www.facebook.com/SeattlePublicLibrary,http://www.twitter.com/SPLBuzz,http://shelftalk.spl.org/,"The Seattle Public Library brings people, information and ideas together to enrich lives and build community. Contact us at http://www.spl.org/about-the-library/contact-the-library/e-mail-form for more information.",Library,English,Language Line Services are available,38,Windows,"None, Wheelchair accessible",,Offers Wi-Fi,,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"5614 22nd Ave. N.W.
Seattle, Washington
(47.66967286018189, -122.38472146014692)"
Beacon Hill Library,Seattle Public Library,Wei Cai,Regional Manager,206-684-4711,,http://www.spl.org/locations/beacon-hill-branch/bea-computers-and-equipment,,United States,98144,King,http://www.facebook.com/SeattlePublicLibrary,http://www.twitter.com/SPLBuzz,http://shelftalk.spl.org/,"The Seattle Public Library brings people, information and ideas together to enrich lives and build community. Contact us at http://www.spl.org/about-the-library/contact-the-library/e-mail-form for more information.",Library,"Chinese, English, Spanish",,30,Windows,Wheelchair accessible,,Offers Wi-Fi,,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"2821 Beacon Ave. S.
Seattle, Washington
(47.578175836920934, -122.31121987069224)"
Broadview Branch,Seattle Public Library,Karen Spiel,Regional Manager,206-684-7519,,http://www.spl.org/locations/broadview-branch/bro-computers-and-equipment,,United States,98133,King,http://www.facebook.com/SeattlePublicLibrary,http://www.twitter.com/SPLBuzz,http://shelftalk.spl.org/,"The Seattle Public Library brings people, information and ideas together to enrich lives and build community. Contact us at http://www.spl.org/about-the-library/contact-the-library/e-mail-form for more information.",Library,English,Language Line Services are available,39,Windows,Wheelchair accessible,,Offers Wi-Fi,,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",,All Public,"12755 Greenwood Ave. N.
Seattle, Washington
(47.72291272431647, -122.35561040605847)"
